Symbol,Name,Last,"YTD %Change","1-Month %Change","3-Month %Change","52-Week %Change","52-Week High","52-Week Low"
TDB3500.CF,"TD Retirement Balanced Portfolio Ft8 Series - NL",11.97,-0.1397,-0.0253,-0.0492,-0.1117,13.9851,11.9
TDB2760.CF,"TD Retirement Balanced Portfolio Investor Ser -",17.15,-0.1472,-0.0261,-0.0514,-0.1211,20.2193,17.05
TDB2761.CF,"TD Retirement Balanced Portfolio Advisor Ser - I",17.1476,-0.1473,-0.0265,-0.0518,-0.1214,20.2237,17.0482
TDB2762.CF,"TD Retirement Balanced Portfolio Advisor Ser - D",17.1476,-0.1473,-0.0265,-0.0518,-0.1214,20.2237,17.0482
TDB2763.CF,"TD Retirement Balanced Portfolio Advisor Ser -Ls",17.1476,-0.1473,-0.0265,-0.0518,-0.1214,20.2237,17.0482
TDB2764.CF,"TD Retirement Balanced Portfolio Advisor Ser -Ls",17.1476,-0.1473,-0.0265,-0.0518,-0.1214,20.2237,17.0482
TDB2765.CF,"TD Retirement Balanced Portfolio F Series - NL",18.85,-0.1397,-0.0253,-0.0489,-0.1116,22.023,18.74
TDB2766.CF,"TD Retirement Balanced Portfolio H5 Series - NL",11.26,-0.1475,-0.027,-0.0519,-0.1214,13.2779,11.2
TDB2767.CF,"TD Retirement Balanced Portfolio T5 Series - ISC",11.29,-0.1471,-0.0261,-0.0517,-0.1209,13.3143,11.22
TDB2768.CF,"TD Retirement Balanced Portfolio T5 Series - DSC",11.29,-0.1471,-0.0261,-0.0517,-0.1209,13.3143,11.22
TDB2769.CF,"TD Retirement Balanced Portfolio T5 Series - Lsc",11.29,-0.1471,-0.0261,-0.0517,-0.1209,13.3143,11.22
TDB2770.CF,"TD Retirement Balanced Portfolio T5 Series - Lsc",11.29,-0.1471,-0.0261,-0.0517,-0.1209,13.3143,11.22
TDB2771.CF,"TD Retirement Balanced Portfolio Ft5 Series - NL",12.41,-0.1399,-0.0257,-0.049,-0.1121,14.5048,12.34
TDB2779.CF,"TD Retirement Balanced Portfolio Series K",10.97,-0.1466,-0.0261,-0.0511,-0.12,12.9235,10.9
TDB3059.CF,"TD Retirement Balanced Portfolio D Series - NL",10.47,-0.1418,-0.026,-0.0499,-0.1143,12.2632,10.41
TDB2773.CF,"TD Retirement Balanced Portfolio-Premium NL",16.95,-0.1465,-0.0264,-0.0515,-0.1206,19.9703,16.85
TDB3499.CF,"TD Retirement Conservative Portfolio Ft8 - NL",12.11,-0.1487,-0.0263,-0.0548,-0.1264,14.2875,12.03
TDB2753.CF,"TD Retirement Conservative Portfolio - Premium N",16.57,-0.1546,-0.027,-0.0569,-0.1336,19.6774,16.46
TDB2759.CF,"TD Retirement Conservative Portfolio K Series -",10.87,-0.1542,-0.0263,-0.0565,-0.1332,12.9075,10.79
TDB3058.CF,"TD Retirement Conservative Portfolio D Series -",10.66,-0.1506,-0.0256,-0.055,-0.1286,12.5993,10.59
TDB2740.CF,"TD Retirement Conservative Portfolio Inv Ser - N",16.87,-0.1548,-0.0265,-0.057,-0.1343,20.0411,16.75
TDB2741.CF,"TD Retirement Conservative Portfolio Adv Ser -Is",16.7608,-0.1552,-0.0268,-0.0572,-0.1346,19.9233,16.6487
TDB2742.CF,"TD Retirement Conservative Portfolio Adv Ser -Ds",16.7608,-0.1552,-0.0268,-0.0572,-0.1346,19.9233,16.6487
TDB2743.CF,"TD Retirement Conservative Portfolio Adv Ser -Ls",16.7608,-0.1552,-0.0268,-0.0572,-0.1346,19.9233,16.6487
TDB2744.CF,"TD Retirement Conservative Portfolio Adv Ser -Ls",16.7608,-0.1552,-0.0268,-0.0572,-0.1346,19.9233,16.6487
TDB2745.CF,"TD Retirement Conservative Portfolio F Ser - NL",18.12,-0.1489,-0.0263,-0.0553,-0.1264,21.3762,18
TDB2746.CF,"TD Retirement Conservative Portfolio H5 Ser - NL",11.04,-0.1554,-0.0267,-0.057,-0.1345,13.1257,10.97
TDB2747.CF,"TD Retirement Conservative Portfolio T5 Ser - Is",10.96,-0.1548,-0.0269,-0.0575,-0.134,13.0245,10.89
TDB2748.CF,"TD Retirement Conservative Portfolio T5 Ser - DS",10.96,-0.1548,-0.0269,-0.0575,-0.134,13.0245,10.89
TDB2749.CF,"TD Retirement Conservative Portfolio T5 Ser - Ls",10.96,-0.1548,-0.0269,-0.0575,-0.134,13.0245,10.89
TDB2750.CF,"TD Retirement Conservative Portfolio T5 Ser - Ls",10.96,-0.1548,-0.0269,-0.0575,-0.134,13.0245,10.89
TDB2751.CF,"TD Retirement Conservative Portfolio Ft5 Ser - N",11.86,-0.149,-0.0262,-0.0554,-0.1262,13.9869,11.78
PHN9074.CF,"RBC European Equity Fund - O",22.5242,-0.218,0.0684,-0.0143,-0.1812,29.2226,21.0126
RBF202.CF,"RBC European Equity Fund Series O - NL",22.5242,-0.218,0.0684,-0.0143,-0.1812,29.2226,21.0126
RBF138.CF,"RBC Canadian Short-Term Income Fund Series O - N",9.8788,-0.054,-0.0093,-0.0161,-0.0528,10.4522,9.8449
BTG770.CF,"Beutel Goodman Canadian Equity Fund Class D - FE",41.7404,-0.0632,0.015,-0.0244,-0.0552,47.0342,40.0697
TDB2928.CF,"TD Canadian Equity Fund - Premium Series",15.24,-0.0174,0.0381,0.0249,0.0106,17.06,14.4
TDB3089.CF,"TD Canadian Equity Fund - D - NL",15.4,-0.0103,0.0391,0.0274,0.0188,17.15,14.51
TDB161.CF,"TD Canadian Equity Fund - Inv - NL",46.82,-0.0182,0.0381,0.0245,0.009,52.43,44.25
TDB117.CF,"TD Canadian Equity Fund - Advisor Series - Lsc2",19.5168,-0.0184,0.038,0.0243,0.0087,21.8607,18.4485
TDB308.CF,"TD Canadian Equity Fund - Advisor Series - FE",19.5168,-0.0184,0.038,0.0243,0.0087,21.8607,18.4485
TDB338.CF,"TD Canadian Equity Fund - Advisor Series - DSC",19.5168,-0.0184,0.038,0.0243,0.0087,21.8607,18.4485
TDB368.CF,"TD Canadian Equity Fund - Advisor Series - LL",19.5168,-0.0184,0.038,0.0243,0.0087,21.8607,18.4485
TDB408.CF,"TD Canadian Equity Fund - F - NL",21.41,-0.0088,0.0393,0.0278,0.021,23.83,20.17
TDB3410.CF,"TD U.S. Dividend Growth Fund - Investor Series -",17.02,-0.124,0.0359,0.034,-0.0571,19.72,15.64
TDB3411.CF,"TD U.S. Dividend Growth Fund - Advisor Ser - ISC",17.0493,-0.1237,0.0359,0.0341,-0.0564,19.7447,15.6634
TDB3412.CF,"TD U.S. Dividend Growth Fund - Advisor Ser - DSC",17.0493,-0.1237,0.0359,0.0341,-0.0564,19.7447,15.6634
TDB3413.CF,"TD U.S. Dividend Growth Fund - Advisor Ser - Lsc",17.0493,-0.1237,0.0359,0.0341,-0.0564,19.7447,15.6634
TDB3414.CF,"TD U.S. Dividend Growth Fund - Advisor Ser - Lsc",17.0493,-0.1237,0.0359,0.0341,-0.0564,19.7447,15.6634
TDB3423.CF,"TD U.S. Dividend Growth Fund - D Series - NL",17.46,-0.1178,0.0371,0.0365,-0.0488,20.0816,15.9894
"Downloaded data provided by Barchart as of 10-25-2022 01:45pm CDT"
