,Unnamed: 0,Symbol,Name,Last,YTD %Change,1-Month %Change,3-Month %Change,52-Week %Change,52-Week High,52-Week Low,Change,% Change,Assets Under Management,Time,Risk,Size,Percentile,Volatility
53,53,TDB097.CF,TD Dividend Growth Fund T8 Series - FE,9.5424,-0.0562,-0.0349,-0.0287,-0.005,10.9296,9.427,-0.1626,-0.01675425,"9,478 M",10/7/2022,medium,medium,15%,0.159393232
22,22,RBF209.CF,RBC Select Very Conservative Portfolio Series A-,11.7984,-0.1345,-0.0255,-0.023,-0.1176,13.6454,11.7679,-0.1013,-0.00851282,"12,290 M",10/7/2022,low,large,None,0.159544184
152,152,TDB2773.CF,TD Retirement Balanced Portfolio-Premium NL,17.14,-0.137,-0.0256,-0.03,-0.1021,19.9703,17.14,-0.17,-0.009820913,"6,625 M",10/7/2022,low,small,None,0.165128355
150,150,TDB2779.CF,TD Retirement Balanced Portfolio Series K,11.09,-0.1372,-0.0258,-0.03,-0.1023,12.9235,11.09,-0.11,-0.009821429,"6,625 M",10/7/2022,low to medium,small,None,0.165329125
180,180,TDB2751.CF,TD Retirement Conservative Portfolio Ft5 Ser - N,12,-0.139,-0.029,-0.0314,-0.1066,13.9869,12,-0.12,-0.00990099,"6,540 M",10/7/2022,low,small,None,0.165575
159,159,TDB2766.CF,TD Retirement Balanced Portfolio H5 Series - NL,11.39,-0.1377,-0.0258,-0.0305,-0.1027,13.2779,11.39,-0.12,-0.010425717,"6,625 M",10/7/2022,None,small,None,0.165750658
160,160,TDB2767.CF,TD Retirement Balanced Portfolio T5 Series - ISC,11.42,-0.1373,-0.0257,-0.0295,-0.1023,13.3143,11.42,-0.11,-0.00954033,"6,625 M",10/7/2022,low,small,None,0.165875657
161,161,TDB2768.CF,TD Retirement Balanced Portfolio T5 Series - DSC,11.42,-0.1373,-0.0257,-0.0295,-0.1023,13.3143,11.42,-0.11,-0.00954033,"6,625 M",10/7/2022,low,small,None,0.165875657
162,162,TDB2769.CF,TD Retirement Balanced Portfolio T5 Series - Lsc,11.42,-0.1373,-0.0257,-0.0295,-0.1023,13.3143,11.42,-0.11,-0.00954033,"6,625 M",10/7/2022,low,small,None,0.165875657
163,163,TDB2770.CF,TD Retirement Balanced Portfolio T5 Series - Lsc,11.42,-0.1373,-0.0257,-0.0295,-0.1023,13.3143,11.42,-0.11,-0.00954033,"6,625 M",10/7/2022,low,small,None,0.165875657
154,154,TDB2761.CF,TD Retirement Balanced Portfolio Advisor Ser - I,17.3448,-0.1375,-0.0254,-0.0301,-0.1027,20.2237,17.3448,-0.1704,-0.009728693,"6,625 M",10/7/2022,low,small,None,0.165980582
155,155,TDB2762.CF,TD Retirement Balanced Portfolio Advisor Ser - D,17.3448,-0.1375,-0.0254,-0.0301,-0.1027,20.2237,17.3448,-0.1704,-0.009728693,"6,625 M",10/7/2022,low,small,None,0.165980582
156,156,TDB2763.CF,TD Retirement Balanced Portfolio Advisor Ser -Ls,17.3448,-0.1375,-0.0254,-0.0301,-0.1027,20.2237,17.3448,-0.1704,-0.009728693,"6,625 M",10/7/2022,low,small,None,0.165980582
157,157,TDB2764.CF,TD Retirement Balanced Portfolio Advisor Ser -Ls,17.3448,-0.1375,-0.0254,-0.0301,-0.1027,20.2237,17.3448,-0.1704,-0.009728693,"6,625 M",10/7/2022,low,small,None,0.165980582
153,153,TDB2760.CF,TD Retirement Balanced Portfolio Investor Ser -,17.34,-0.1377,-0.0258,-0.0302,-0.1032,20.2193,17.34,-0.17,-0.009708738,"6,625 M",10/7/2022,low,small,None,0.166049596
174,174,TDB2745.CF,TD Retirement Conservative Portfolio F Ser - NL,18.33,-0.139,-0.0291,-0.0317,-0.1069,21.3762,18.33,-0.19,-0.010259179,"6,540 M",10/7/2022,low,small,None,0.166186579
165,165,TDB3499.CF,TD Retirement Conservative Portfolio Ft8 - NL,12.25,-0.1389,-0.029,-0.0313,-0.1069,14.2875,12.25,-0.12,-0.009700889,"6,540 M",10/7/2022,low,small,None,0.166326531
58,58,RBF657.CF,RBC Select Conservative Portfolio Series F - NL,21.493,-0.136,-0.025,-0.018,-0.1089,24.9598,21.3971,-0.2448,-0.011261489,"9,466 M",10/7/2022,low,medium,None,0.166503872
80,80,PHN115.CF,PH&N Bond Fund Series O - NL,8.9472,-0.1258,-0.0159,-0.009,-0.111,10.2557,8.7828,-0.032,-0.003563792,"8,861 M",10/7/2022,low,medium,30%,0.167702783
81,81,RBF8115.CF,PH&N Bond Fund Series O - NL,8.9472,-0.1258,-0.0159,-0.009,-0.111,10.2557,8.7828,-0.032,-0.003563792,"8,861 M",10/7/2022,low,medium,30%,0.167702783
100,100,PHN345.CF,PH&N Total Return Bond Fund Series O,9.9332,-0.1263,-0.016,-0.0089,-0.111,11.3903,9.7507,-0.0354,-0.003551151,"8,417 M",10/7/2022,low,medium,30%,0.16815203
101,101,RBF8345.CF,PH&N Total Return Bond Fund Series O,9.9332,-0.1263,-0.016,-0.0089,-0.111,11.3903,9.7507,-0.0354,-0.003551151,"8,417 M",10/7/2022,low,medium,30%,0.16815203
