,Symbol,Name,Last,YTD %Change,1-Month %Change,3-Month %Change,52-Week %Change,52-Week High,52-Week Low,Change,% Change,Price Volume,Time,Rating,Percentile,Volatility
92,TVE-T,Tamarack Valley Energy Ltd,5.41,0.4052,0.3099,0.2943,0.4701,6.48,3.08,0.18,0.0344,"20,671",11/11/22,4.44,30%,1.103896103896104
68,YRI-T,Yamana Gold Inc,6.8,0.2782,0.0413,0.0608,0.2057,8.05,4.78,0.19,0.0287,"29,156",11/11/22,4.50,30%,0.6841004184100419
24,TECK-B-T,Teck Resources Ltd Cl B,46.43,0.2745,0.0559,0.0963,0.2926,57.5,32.05,0.68,0.0149,"101,071",11/11/22,4.37,30%,0.794071762870515
89,DFY-T,Definity Financial Corporation,36.42,0.2333,-0.0441,-0.0528,,40.95,26.0,-0.85,-0.0228,"21,580",11/11/22,4.22,30%,0.5750000000000002
35,DOL-T,Dollarama Inc,77.34,0.2216,-0.0416,-0.0182,0.3171,83.95,54.28,-3.98,-0.0489,"65,670",11/11/22,4.00,30%,0.5466101694915255
47,PPL-T,Pembina Pipeline Corp,46.5,0.2119,0.0996,-0.0308,0.1173,53.58,37.02,0.64,0.014,"51,059",11/11/22,3.92,30%,0.44732576985413264
22,ATD-T,Alimentation Couche-Tard Inc.,62.9,0.1868,0.1178,0.0769,0.2475,63.48,45.23,0.08,0.0013,"106,322",11/11/22,4.80,30%,0.4034932566880389
80,FFH-T,Fairfax Financial Holdings Ltd,734.13,0.1798,0.1835,0.1028,0.3738,742.9,530.0,7.77,0.0107,"25,119",11/11/22,4.60,30%,0.4016981132075472
20,IFC-T,Intact Financial Corp,193.74,0.1783,0.0046,0.0153,0.139,209.57,158.0,-5.76,-0.0289,"110,762",11/11/22,4.33,30%,0.32639240506329115
44,CCO-T,Cameco Corp,32.42,0.1755,-0.0898,0.0006,-0.0654,41.05,23.03,0.37,0.0115,"57,662",11/11/22,4.75,30%,0.7824576639166303
86,SAP-T,Saputo Inc,33.38,0.1712,0.0948,-0.0159,0.0754,35.2,24.61,-0.15,-0.0045,"22,338",11/11/22,4.14,30%,0.43031288094270637
0,ENB-T,Enbridge Inc,55.47,0.1226,0.1159,-0.0193,0.0542,59.69,46.88,0.95,0.0174,"369,836",11/11/22,4.00,30%,0.2732508532423208
12,CP-T,Canadian Pacific Railway Ltd,101.82,0.1191,0.087,-0.0118,0.0519,106.93,86.12,-2.19,-0.0211,"162,131",11/11/22,4.24,30%,0.24163957268927083
99,ABST-T,Absolute Software Corp,13.21,0.1138,-0.1326,-0.0134,0.0061,17.2,8.81,0.8,0.0645,"19,011",11/11/22,4.20,30%,0.9523269012485809
14,FM-T,First Quantum Minerals Ltd,33.56,0.1087,0.433,0.3732,0.1918,45.38,18.67,1.45,0.0452,"154,994",11/11/22,3.77,None,1.430637386181039
87,BLX-T,Boralex Inc,38.21,0.1018,-0.0483,-0.21,0.0291,51.55,30.04,-0.44,-0.0114,"22,050",11/11/22,4.17,None,0.716045272969374
67,IVN-T,Ivanhoe Mines Ltd,11.24,0.0891,0.2802,0.2773,0.0977,13.15,6.41,0.33,0.0302,"30,127",11/11/22,4.00,None,1.0514820592823715
11,TRP-T,Tc Energy Corp,64.02,0.0882,0.1587,-0.0114,0.0269,74.44,54.6,0.88,0.0139,"166,286",11/11/22,3.73,None,0.3633699633699632
36,FNV-T,Franco-Nevada Corp,187.78,0.0734,0.158,0.125,0.0045,216.32,151.08,1.71,0.0092,"64,487",11/11/22,3.92,None,0.4318241990998144
16,NTR-T,Nutrien Ltd,101.76,0.0703,-0.1064,-0.1199,0.1834,147.93,84.37,-3.74,-0.0355,"143,108",11/11/22,4.36,None,0.7533483465686854
45,L-T,Loblaw CO,109.78,0.0592,0.0224,-0.0712,0.1153,124.77,90.46,-2.12,-0.0189,"56,868",11/11/22,3.88,None,0.3792836612867567
50,QSR-T,Restaurant Brands International Inc,80.56,0.0503,0.1115,0.0453,0.1233,82.7,60.37,-1.87,-0.0227,"46,801",11/11/22,3.50,None,0.36988570482027505
34,WCN-T,Waste Connections Inc,180.69,0.0481,0.0114,0.0177,0.0596,195.33,148.05,-5.41,-0.0291,"65,911",11/11/22,4.67,None,0.3193515704154002
49,NPI-T,Northland Power Inc,39.74,0.0472,0.0395,-0.0987,0.0187,47.13,34.95,-1.28,-0.0312,"49,352",11/11/22,4.50,None,0.3484978540772532
13,CNR-T,Canadian National Railway Co.,161.97,0.0424,0.0873,-0.0015,-0.0089,171.48,137.26,-2.39,-0.0145,"160,712",11/11/22,3.52,None,0.24930788285006567
91,WN-T,Weston George,151.92,0.0359,0.0673,-0.0143,0.0855,162.51,130.81,-2.98,-0.0192,"20,903",11/11/22,3.67,None,0.2423362128277653
85,PET-T,Pet Valu Holdings Ltd,37.31,0.0344,0.0999,0.0691,0.2433,40.67,27.41,-2.05,-0.0521,"22,418",11/11/22,0.00,None,0.48376504925209773
66,H-T,Hydro One Ltd,33.96,0.0319,0.053,-0.0415,0.1193,36.44,30.16,-0.39,-0.0114,"30,911",11/11/22,3.00,None,0.20822281167108736
59,BBD-B-T,Bombardier Inc Cl B Sv,42.92,0.0219,0.5204,0.3145,-0.1105,48.75,18.3,1.28,0.0307,"34,910",11/11/22,4.40,None,1.663934426229508
70,LAC-T,Lithium Americas Corp,37.57,0.0204,0.1957,0.0027,-0.1285,53.09,24.65,0.07,0.0019,"27,851",11/11/22,4.63,None,1.1537525354969578
75,IAG-T,IA Financial Corp Inc,73.38,0.0138,0.048,0.0152,-0.0269,85.25,58.7,2.78,0.0394,"27,044",11/11/22,4.40,None,0.4522998296422487
61,GIB-A-T,CGI Group Inc Cl A Sv,113.3,0.013,0.0977,0.0359,0.01,114.11,95.45,-0.54,-0.0047,"34,109",11/11/22,4.45,None,0.195495023572551
90,KEY-T,Keyera Corp,28.77,0.0084,0.0371,-0.1035,-0.0629,35.48,26.34,0.57,0.0202,"21,552",11/11/22,4.80,None,0.3470007593014426
