,Symbol,Name,Last,YTD %Change,1-Month %Change,3-Month %Change,52-Week %Change,52-Week High,52-Week Low,Change,% Change,Assets Under Management,Time,risk,Size,Percentile,Volatility
101,PHN385.CF,PH&N U.S. Multi-Style All-Cap Equity Fund O - NL,20.8171,-0.0675,0.034,0.0626,-0.042,22.7065,17.8502,0.3912,0.019152155,"8,179 M",11/30/2022,Medium,medium,None,0.272058576
67,TDB2559.CF,TD Tactical Monthly Income Fund Series K,13.51,-0.0715,0.03,0.0275,-0.0499,14.5976,12.5239,0.01,0.000740741,"8,915 M",11/30/2022,Low to Medium,medium,None,0.165579412
69,TDB2593.CF,TD Tactical Monthly Income Fund -Premium NL,12.31,-0.0716,0.0296,0.0275,-0.0501,13.3076,11.41,0.04,0.003259984,"8,915 M",11/30/2022,Low to Medium,medium,None,0.166310254
55,TDB2580.CF,TD Tactical Monthly Income Fund - Investor Ser -,13.18,-0.0716,0.0296,0.0273,-0.0509,14.2553,12.2149,0.05,0.003808073,"8,915 M",11/30/2022,Low to Medium,medium,None,0.167041891
57,TDB2582.CF,TD Tactical Monthly Income Fund Adv-DSC,13.1949,-0.0718,0.0298,0.0271,-0.0505,14.2679,12.2339,0.047,0.003574715,"8,915 M",11/30/2022,Low to Medium,medium,None,0.166259329
59,TDB2584.CF,TD Tactical Monthly Income Fund Adv- Lsc2,13.1949,-0.0718,0.0298,0.0271,-0.0505,14.2679,12.2339,0.047,0.003574715,"8,915 M",11/30/2022,Low to Medium,medium,None,0.166259329
65,TDB2590.CF,TD Tactical Monthly Income Fund T8 Series - Lsc2,13.5706,-0.0718,0.0298,0.0272,-0.0505,14.674,12.582,-0.0162,-0.001192334,"8,915 M",11/30/2022,Low to Medium,medium,None,0.166269274
62,TDB2587.CF,TD Tactical Monthly Income Fund T8 Series - ISC,13.5706,-0.0718,0.0298,0.0272,-0.0505,14.674,12.582,-0.0162,-0.001192334,"8,915 M",11/30/2022,Low to Medium,medium,None,0.166269274
63,TDB2588.CF,TD Tactical Monthly Income Fund T8 Series - DSC,13.5706,-0.0718,0.0298,0.0272,-0.0505,14.674,12.582,-0.0162,-0.001192334,"8,915 M",11/30/2022,Low to Medium,medium,None,0.166269274
56,TDB2581.CF,TD Tactical Monthly Income Fund Adv-ISc,13.1949,-0.0718,0.0298,0.0271,-0.0505,14.2679,12.2339,0.047,0.003574715,"8,915 M",11/30/2022,Low to Medium,medium,None,0.166259329
64,TDB2589.CF,TD Tactical Monthly Income Fund T8 Series - Lsc,13.5706,-0.0718,0.0298,0.0272,-0.0505,14.674,12.582,-0.0162,-0.001192334,"8,915 M",11/30/2022,Low to Medium,medium,None,0.166269274
58,TDB2583.CF,TD Tactical Monthly Income Fund Adv - Lsc,13.1949,-0.0718,0.0298,0.0271,-0.0505,14.2679,12.2339,0.047,0.003574715,"8,915 M",11/30/2022,Low to Medium,medium,None,0.166259329
61,TDB2586.CF,TD Tactical Monthly Income Fund H8 Series - NL,13.58,-0.0719,0.0295,0.0269,-0.0511,14.6872,12.5901,-0.02,-0.001470588,"8,915 M",11/30/2022,Low to Medium,medium,None,0.166567382
121,IGI156.CF,Iprofile Fixed Income Private Pool Series I - NL,10.9285,-0.0732,0.0198,-0.0003,-0.0657,11.8071,10.5574,0.0003,2.75E-05,"7,575 M",11/30/2022,Low,medium,None,0.118371948
1,CLGO002A.CF,GWL Agg Portfolio 75/75 (Ps1),22.1754,-0.0747,0.0427,0.0397,-0.0569,24.1835,20.2769,0.1252,0.005677953,"113,191 M",11/29/2022,None,large,None,0.192662586
136,TDB2444.CF,TD Comfort Balanced Growth Portfolio F - NL,11.21,-0.0781,0.0496,0.0428,-0.0545,12.22,10.26,0.1,0.0090009,"7,339 M",11/30/2022,Low to Medium,small,None,0.191033138
137,TDB3540.CF,TD Comfort Balanced Growth Portfolio D Series -,11.74,-0.0792,0.0501,0.0436,-0.0562,12.82,10.74,0.12,0.010327022,"7,339 M",11/30/2022,Low to Medium,small,None,0.193668529
49,RBF657.CF,RBC Select Conservative Portfolio Series F - NL,22.8712,-0.0806,0.0421,0.0294,-0.0674,24.9598,21.2867,0.1669,0.00735103,"9,192 M",11/30/2022,Low,medium,None,0.172553754
71,TDB2443.CF,TD Comfort Balanced Portfolio F - NL,11.02,-0.0809,0.0445,0.0338,-0.0596,12.04,10.2,0.08,0.007312614,"8,853 M",11/30/2022,Low to Medium,medium,None,0.180392157
72,TDB3539.CF,TD Comfort Balanced Portfolio D Series - NL,11.44,-0.0826,0.0447,0.0334,-0.0616,12.52,10.58,0.09,0.007929515,"8,853 M",11/30/2022,Low to Medium,medium,None,0.183364839
87,CIG5111.CF,CI Global Income & Growth Fund Class I,10.064,-0.0833,0.0479,0.0301,-0.0693,11.0958,9.3151,0.083,0.0083158,"8,577 M",11/30/2022,Low to Medium,medium,None,0.191162736
89,CIG18194.CF,CI Global Income & Growth Fund Class O,15.0194,-0.0849,0.0477,0.0297,-0.071,16.5869,13.9121,0.1236,0.008297641,"8,577 M",11/30/2022,Low to Medium,medium,None,0.192264288
77,CIG90167.CF,CI Global Income & Growth Fund Class P,10.2601,-0.0853,0.0476,0.0295,-0.0715,11.337,9.5068,0.0844,0.00829427,"8,577 M",11/30/2022,Low to Medium,medium,None,0.192514831
138,TDB887.CF,TD Comfort Balanced Growth Portfolio Inv - NL,18.86,-0.0858,0.0489,0.0408,-0.0633,20.74,17.29,0.18,0.009635974,"7,339 M",11/30/2022,Low to Medium,small,None,0.199537305
6,RBF461.CF,RBC Select Conservative Portfolio Series A - NL,22.3898,-0.0885,0.0413,0.027,-0.0763,24.6469,20.8597,0.163,0.007333489,"24,231 M",11/30/2022,Low,large,None,0.181555823
73,TDB886.CF,TD Comfort Balanced Portfolio Inv - NL,17.48,-0.0891,0.0436,0.0313,-0.0688,19.27,16.19,0.13,0.007492795,"8,853 M",11/30/2022,Low to Medium,medium,None,0.190240889
105,FID2204.CF,Fidelity Global Balanced Portfolio Series B - Is,14.6017,-0.0904,0.0405,0.0369,-0.0909,16.1734,13.5997,0.1113,0.007680947,"7,853 M",11/30/2022,Low to Medium,medium,None,0.189246822
19,RBF658.CF,RBC Select Balanced Portfolio Series F - NL,31.8065,-0.0911,0.0538,0.0392,-0.078,35.2079,29.1296,0.3407,0.010827629,"13,500 M",11/30/2022,Low to Medium,large,None,0.208664039
24,RBF209.CF,RBC Select Very Conservative Portfolio Series A-,12.3711,-0.0925,0.0343,0.0144,-0.083,13.6454,11.643,0.0682,0.005543408,"11,668 M",11/30/2022,Low,large,None,0.171983166
76,CIG15194.CF,CI Global Income & Growth Fund Class Ef,11.1685,-0.0926,0.0468,0.0273,-0.0797,12.4403,10.3896,0.0916,0.008269462,"8,577 M",11/30/2022,Low to Medium,medium,None,0.197380072
86,CIG4111.CF,CI Global Income & Growth Fund Class F,9.8005,-0.0946,0.0466,0.0266,-0.0819,10.9409,9.1271,0.0804,0.00827152,"8,577 M",11/30/2022,Low to Medium,medium,None,0.198726868
167,TDB2765.CF,TD Retirement Balanced Portfolio F Series - NL,19.8,-0.0963,0.0296,0.0041,-0.0842,22.023,18.74,0.11,0.005586592,"6,233 M",11/30/2022,Low,small,None,0.175186766
173,TDB2771.CF,TD Retirement Balanced Portfolio Ft5 Series - NL,12.91,-0.0964,0.0298,0.0042,-0.0845,14.3628,12.2193,0,0,"6,233 M",11/30/2022,Low,small,None,0.175419214
161,TDB3500.CF,TD Retirement Balanced Portfolio Ft8 Series - NL,12.37,-0.0964,0.0296,0.0042,-0.0843,13.7605,11.7089,-0.03,-0.002419355,"6,233 M",11/30/2022,Low,small,None,0.175217143
91,RBF8115.CF,PH&N Bond Fund Series O - NL,9.2374,-0.0975,0.027,0.0106,-0.0806,10.2557,8.7266,0.0258,0.002800816,"8,573 M",11/30/2022,Low,medium,None,0.175222882
90,PHN115.CF,PH&N Bond Fund Series O - NL,9.2374,-0.0975,0.027,0.0106,-0.0806,10.2557,8.7266,0.0258,0.002800816,"8,573 M",11/30/2022,Low,medium,None,0.175222882
104,RBF8345.CF,PH&N Total Return Bond Fund Series O,10.2565,-0.0978,0.0273,0.0104,-0.0808,11.3903,9.6877,0.0293,0.002864909,"8,074 M",11/30/2022,Low,medium,None,0.17574863
103,PHN345.CF,PH&N Total Return Bond Fund Series O,10.2565,-0.0978,0.0273,0.0104,-0.0808,11.3903,9.6877,0.0293,0.002864909,"8,074 M",11/30/2022,None,medium,None,0.17574863
46,RBF459.CF,RBC Select Growth Portfolio Series A - NL,34.1874,-0.0983,0.0586,0.0449,-0.0862,38.2262,31.0541,0.4338,0.012851962,"9,360 M",11/30/2022,Low to Medium,medium,None,0.230955011
176,TDB3059.CF,TD Retirement Balanced Portfolio D Series - NL,11,-0.0984,0.03,0.0036,-0.0862,12.2632,10.41,0.06,0.005484461,"6,233 M",11/30/2022,Low,small,None,0.178021134
53,RBF8716.CF,PH&N Core Plus Bond Fund Series O - NL,8.9023,-0.0991,0.0285,0.0101,-0.0815,9.8971,8.4016,0.0249,0.002804875,"8,937 M",11/30/2022,None,medium,None,0.178001809
52,PHN716.CF,PH&N Core Plus Bond Fund Series O - NL,8.9023,-0.0991,0.0285,0.0101,-0.0815,9.8971,8.4016,0.0249,0.002804875,"8,937 M",11/30/2022,None,medium,None,0.178001809
3,RBF460.CF,RBC Select Balanced Portfolio Series A - NL,29.9762,-0.0992,0.0529,0.0367,-0.0871,33.4822,27.4879,0.3205,0.010807366,"30,208 M",11/30/2022,Low to Medium,large,None,0.218070496
142,DJT07506.CF,Desjardins Canadian Bond Fund W Class,8.859,-0.1,0.0292,0.0099,-0.0827,9.8599,8.3588,0.024,0.002716469,"6,619 M",11/30/2022,Low,small,None,0.179583194
148,DJT00606.CF,Desjardins Canadian Bond Fund I Class - NL,9.503,-0.1,0.0294,0.0101,-0.0827,10.5767,8.9658,0.026,0.002743484,"6,619 M",11/30/2022,Low,small,None,0.179671641
88,CIG16194.CF,CI Global Income & Growth Fund Class E,14.4583,-0.1017,0.0458,0.0244,-0.0898,16.2684,13.518,0.1182,0.00824262,"8,577 M",11/30/2022,Low to Medium,medium,None,0.203462051
84,CIG2111.CF,CI Global Income & Growth Fund Class A,9.6661,-0.1038,0.0455,0.0238,-0.0922,10.9016,9.0477,0.079,0.008240239,"8,577 M",11/30/2022,Low to Medium,medium,None,0.204902904
85,CIG3111.CF,CI Global Income & Growth Fund Class A,9.6661,-0.1038,0.0455,0.0238,-0.0922,10.9016,9.0477,0.079,0.008240239,"8,577 M",11/30/2022,Low to Medium,medium,None,0.204902904
83,CIG1111.CF,CI Global Income & Growth Fund Class A,9.6661,-0.1038,0.0455,0.0238,-0.0922,10.9016,9.0477,0.079,0.008240239,"8,577 M",11/30/2022,Low to Medium,medium,None,0.204902904
174,TDB2773.CF,TD Retirement Balanced Portfolio-Premium NL,17.79,-0.1042,0.0289,0.0017,-0.0932,19.9703,16.85,0.1,0.005652911,"6,233 M",11/30/2022,Low,small,None,0.185181009
175,TDB2779.CF,TD Retirement Balanced Portfolio Series K,11.4,-0.1043,0.0298,0.0023,-0.093,12.796,10.7925,0.01,0.000877963,"6,233 M",11/30/2022,Low to Medium,small,None,0.185638175
170,TDB2768.CF,TD Retirement Balanced Portfolio T5 Series - DSC,11.73,-0.105,0.0293,0.0011,-0.0938,13.1829,11.1092,0,0,"6,233 M",11/30/2022,Low,small,None,0.186665106
171,TDB2769.CF,TD Retirement Balanced Portfolio T5 Series - Lsc,11.73,-0.105,0.0293,0.0011,-0.0938,13.1829,11.1092,0,0,"6,233 M",11/30/2022,Low,small,None,0.186665106
172,TDB2770.CF,TD Retirement Balanced Portfolio T5 Series - Lsc,11.73,-0.105,0.0293,0.0011,-0.0938,13.1829,11.1092,0,0,"6,233 M",11/30/2022,Low,small,None,0.186665106
169,TDB2767.CF,TD Retirement Balanced Portfolio T5 Series - ISC,11.73,-0.105,0.0293,0.0011,-0.0938,13.1829,11.1092,0,0,"6,233 M",11/30/2022,Low,small,None,0.186665106
163,TDB2761.CF,TD Retirement Balanced Portfolio Advisor Ser - I,17.9974,-0.1051,0.0291,0.0016,-0.0943,20.2237,17.0482,0.0968,0.00540764,"6,233 M",11/30/2022,Low,small,None,0.186265999
164,TDB2762.CF,TD Retirement Balanced Portfolio Advisor Ser - D,17.9974,-0.1051,0.0291,0.0016,-0.0943,20.2237,17.0482,0.0968,0.00540764,"6,233 M",11/30/2022,Low,small,None,0.186265999
